image_path,description
dataset/data_training/pakaian_adat_Aceh/aceh_1.jpg,"This couple wears the elegant traditional Acehnese wedding attire, rich in cultural symbolism. The groom is dressed in a classic Linto Baro outfit—black with gold embroidery—paired with a golden Meukutop headdress. The bride stuns in a vibrant red kebaya with gold songket, crowned with the elaborate Suntiang Aceh headdress adorned with layers of bungong-bungong (gold floral ornaments). Her look is completed with kalung emas (gold necklaces), subang (earrings), gelang (bangles), and a bouquet, symbolizing beauty and heritage."
dataset/data_training/pakaian_adat_Aceh/aceh_2.jpg,"This couple is dressed in the majestic traditional Acehnese wedding attire, dominated by rich red and gold tones. The groom wears the Linto Baro outfit along with the ceremonial headpiece called Meukutop, while the bride stuns in a velvet kebaya and golden songket, crowned with the intricate Suntiang Aceh headdress adorned with golden bungong-bungong (flower-shaped ornaments). Her look is completed with traditional accessories like the Pending (belt), Poh Crouk (chest brooch), gold bangles, and rings—radiating the grace and cultural richness of Aceh."
dataset/data_training/pakaian_adat_Aceh/aceh_3.jpg,"This couple wears traditional Acehnese wedding attire in a vibrant mix of black and violet. The groom is dressed in a formal Linto Baro outfit with detailed gold embroidery and a tall Meukutop headpiece. The bride complements him in a striking violet kebaya with gold songket sarong, adorned with a lavish Suntiang Aceh headdress. Her look is further enriched with gold necklaces, subang (earrings), pending (belt), and layered bangles, capturing the elegance and cultural pride of Aceh."
dataset/data_training/pakaian_adat_Aceh/aceh_4.jpg,"This couple showcases a refined version of Acehnese wedding attire. The groom wears a classic black Linto Baro outfit with intricate gold embroidery and a Meukutop crafted from woven golden fabric. The bride glows in a soft gold kebaya and matching songket, crowned with a glittering Suntiang Aceh headdress featuring hanging floral ornaments. Her ensemble is accentuated with gold brooches, belt, and jewelry chains, symbolizing nobility and timeless tradition."
dataset/data_training/pakaian_adat_Aceh/aceh_5.jpg,"This couple wears the refined Linto Baro and Dara Baro attire from Aceh. The groom’s outfit is black with golden embroidery and a tall Meukutop headpiece, while the bride’s black velvet gown is intricately embroidered with gold thread. Her look is completed by the iconic Suntiang Aceh headdress and layers of traditional gold jewelry, symbolizing elegance and nobility."
dataset/data_training/pakaian_adat_Aceh/aceh_6.jpg,"Dressed in regal Acehnese wedding attire, the groom wears a Linto Baro outfit in black and gold with the signature Meukutop, while the bride glows in red and gold Dara Baro with a sparkling Suntiang Aceh. Her accessories include a wide array of gold necklaces, brooches, and subang earrings, representing wealth, beauty, and tradition."
dataset/data_training/pakaian_adat_Aceh/aceh_7.jpg,"Walking side by side in full Acehnese wedding regalia, the groom wears a black Linto Baro with detailed gold songket and Meukutop, while the bride stuns in a red-gold Dara Baro complete with a striking Suntiang Aceh headdress. Her outfit is adorned with pending (belt), kalung emas (gold necklaces), and a bouquet, capturing the majestic essence of Acehnese heritage"
dataset/data_training/pakaian_adat_Aceh/aceh_8.jpg,"This couple dons the iconic Linto Baro and Dara Baro attire of Aceh. The groom’s black outfit is adorned with golden embroidery and a high Meukutop crown. The bride wears a rich maroon and gold kebaya, paired with a structured songket, and an opulent Suntiang Aceh headdress. Her look is finished with layered gold pendants, kalung emas, and a pending belt—symbols of beauty, pride, and tradition."
dataset/data_training/pakaian_adat_Aceh/aceh_9.jpg,"This couple and groom wear a refined version of Acehnese wedding attire in soft gold tones. The groom is styled in a tailored suit with Acehnese woven accents and a symbolic Meukutop. The bride stuns in a luxurious gold kebaya and Suntiang Aceh, with cascading gold flower ornaments, necklaces, earrings, and intricate brooches—each piece carrying cultural symbolism and royal elegance."
dataset/data_training/pakaian_adat_Aceh/aceh_10.jpg,"This solo bride stands gracefully in a striking blue Dara Baro ensemble with bold silver embroidery. Her look features a dramatic Suntiang Aceh headdress in white-silver, and matching necklaces, chest plates, and gelang (bangles). The modern twist on traditional Acehnese wedding wear still reflects cultural depth, purity, and prestige."
dataset/data_training/pakaian_adat_Aceh/aceh_11.jpg,"This couple wears the traditional Acehnese Linto Baro and Dara Baro attire with a luxurious twist. The groom’s black and gold outfit features bold embroidery and a towering Meukutop headdress. The bride is dressed in a vivid pink kebaya with layered songket, adorned with a regal Suntiang Aceh headdress, pending belt, and an elaborate arrangement of gold jewelry, symbolizing heritage and majesty."
