image_path,description
dataset/data_training/pakaian_adat_Bali/bali_1.jpg,"This traditional Balinese wedding attire, the bride wears a golden and white Kebaya with a golden sash and intricate jewelry. Her headpiece, a grand Sanggul, is decorated with flowers and gold details, emphasizing her noble role. The groom’s attire consists of a white ceremonial jacket, a batik sarong, and a keris, which represents strength. Together, their golden jewelry and arm accessories complete the regal look, embodying the spiritual and cultural significance of the ceremony."
dataset/data_training/pakaian_adat_Bali/bali_2.jpg,"The bride’s Kebaya in purple and gold is complemented by a large Sanggul headpiece, golden jewelry, and a sash around her waist. The groom wears a cream-colored jacket with a purple and gold batik sarong and a keris. The bride holds a fan with traditional artwork, and the groom’s dagger adds a symbolic touch, highlighting the elegance and cultural depth of Balinese wedding attire."
dataset/data_training/pakaian_adat_Bali/bali_3.jpg,"This stunning Balinese wedding set, the bride wears a dark purple and gold batik sarong, paired with a golden sash and a grand Sanggul headpiece adorned with gold and red gems. The groom’s outfit includes a black jacket with gold embroidery, a batik sarong, and a keris. The bride’s fan, featuring traditional Balinese artwork, and the groom’s keris symbolize the strength, nobility, and cultural pride present in Balinese wedding ceremonies."
dataset/data_training/pakaian_adat_Bali/bali_4.jpg,"The bride and groom in this image wear traditional Balinese wedding attire. The bride is dressed in a red and gold embellished Kebaya, intricately designed with golden floral motifs that represent beauty and wealth. Her ensemble is completed with a golden sash and jewelry, including a necklace and bracelets that enhance the royal appearance. The grand Sanggul headpiece, adorned with gold, red flowers, and detailed accessories, is a symbol of her status. She holds a traditional fan painted with intricate Balinese art, a key accessory in Balinese ceremonies. The groom wears a red ceremonial jacket with golden embroidery and a matching sarong, along with a keris (ceremonial dagger) attached to his belt, symbolizing power and nobility. Their attire reflects the cultural richness and elegance of Balinese weddings."
dataset/data_training/pakaian_adat_Bali/bali_5.jpg,"The Solo bride is dressed in a stunning traditional Balinese outfit featuring vibrant yellow, purple, and green hues. Her Kebaya is adorned with intricate golden embroidery and features a golden sash around her waist, symbolizing her noble status. The grand Sanggul headpiece, crafted with golden embellishments and adorned with small golden flowers, highlights her importance in the ceremony. The bride also wears golden jewelry, including armbands and a necklace, enhancing her regal look. Her elegance is further accentuated by the golden belt and decorative brooches. This traditional Balinese attire is not only rich in color but also in cultural symbolism, marking the bride's role in the wedding."
dataset/data_training/pakaian_adat_Bali/bali_6.jpg,"This traditional Balinese wedding attire features the bride and groom in matching purple and gold batik-patterned sarongs. The bride’s outfit includes a beautifully detailed Kebaya with a golden sash, armbands, and a golden belt. Her headpiece, a Sanggul, is elaborately crafted with gold, adorned with a striking arrangement of golden flowers and jewels, which is the hallmark of Balinese bridal fashion. She also wears jewelry such as necklaces and bracelets that complete her ceremonial look. The groom's attire consists of a black jacket with gold embroidery, a keris (dagger) symbolizing strength and protection, and a batik sarong. Together, the couple embodies the elegance and cultural pride of Balinese weddings, with their accessories and clothing reflecting traditional values and beauty."
dataset/data_training/pakaian_adat_Bali/bali_7.jpg,"The traditional Balinese wedding attire worn by the bride and groom in this image is a vibrant display of cultural significance. The bride is dressed in a purple and gold Kebaya with intricate floral patterns, paired with a golden sash around her waist, which signifies her nobility and grace. Her headpiece, the Sanggul, is adorned with flowers and gold accents, reflecting the beauty and ceremonial importance of the occasion. She also wears golden jewelry, including necklaces, bracelets, and earrings, completing her regal look. The groom’s outfit consists of a golden embroidered sash and purple batik sarong, complemented by a golden headpiece and a keris (ceremonial dagger) on his side, symbolizing strength and protection. Together, their outfits exude the elegance, beauty, and cultural pride of a traditional Balinese wedding."
dataset/data_training/pakaian_adat_Bali/bali_8.jpg,"This couple Balinese bridal set, the bride and groom both wear outfits that showcase intricate detail and vibrant colors. The bride’s attire features a yellow and purple Kebaya adorned with golden embroidery, complemented by a golden sash and golden jewelry such as bracelets and a necklace. Her elaborate Sanggul headpiece is crafted with golden floral designs, symbolizing her status and beauty in the ceremony. The groom’s attire includes a pink and purple batik sarong, a golden embroidered jacket, and a keris, symbolizing authority and nobility. The groom also wears a traditional headpiece that matches the bride's, further enhancing their cohesive look. The vibrant colors and intricate designs reflect the rich cultural and spiritual significance of Balinese wedding attire."
dataset/data_training/pakaian_adat_Bali/bali_9.jpg,"This couple Balinese wedding attire with both the bride and groom wearing traditional outfits in deep maroon and gold hues. The bride is adorned in a gold-embroidered Kebaya, paired with a golden sash and golden jewelry, including necklaces, bracelets, and a golden belt. Her Sanggul headpiece is grand and detailed with golden flowers and ornaments that highlight her elegance and importance. The groom wears a maroon batik sarong with golden embroidery and a golden sash, as well as a keris symbolizing power. His headpiece matches the bride's in gold, completing the couple’s coordinated look. The intricate patterns on their attire not only highlight the beauty of the garments but also represent the cultural heritage and symbolism of Balinese weddings."
dataset/data_training/pakaian_adat_Bali/bali_10.jpg,"The image showcases a group of four Balinese women dressed in traditional attire for a ceremonial event. Each woman wears a white lace Kebaya which is a symbol of purity and elegance. Their outfits are paired with brightly colored batik sarongs, each featuring intricate patterns and colors such as purple, yellow, and pink, symbolizing prosperity and nobility. The golden sash around their waists adds a touch of elegance, while the elaborate Sanggul headpieces made of gold and adorned with intricate golden flowers give them a regal look. Their accessories, including bracelets, rings, and necklaces, further enhance their sophisticated appearance. This attire represents the beauty, grace, and cultural richness of Balinese traditions, especially in ceremonial"
dataset/data_training/pakaian_adat_Bali/bali_11.jpg,"This Balinese wedding attire, the bride and groom are dressed in traditional outfits that highlight the vibrant colors and rich cultural heritage of Bali. The bride wears a golden embroidered Kebaya with delicate beading and a golden sash around her waist, paired with a multicolored batik sarong in vibrant hues of purple, yellow, and blue. Her Sanggul headpiece is elaborately designed, with golden floral patterns, and her jewelry, including bracelets and a necklace, adds to her royal appearance. The groom is dressed in a golden embroidered jacket, a purple batik sarong, and a keris (ceremonial dagger) at his side, symbolizing power and protection. The couple’s attire exemplifies the magnificence of Balinese wedding rituals, where each accessory and garment has symbolic meaning."
dataset/data_training/pakaian_adat_Bali/bali_12.jpg,"This image features a stunning Balinese bride wearing a green and gold Kebaya with intricate patterns and a golden sash that signifies her nobility. Her Sanggul headpiece is elaborate, adorned with golden flowers and a red rose in the center, symbolizing beauty, strength, and love. The bride’s golden jewelry, including bracelets, necklaces, and a golden belt, further complements her regal look. She is also holding a traditional fan with delicate designs, which is a common accessory in Balinese ceremonies. Her batik sarong in rich red and gold adds elegance to her attire, completing the ceremonial outfit. This traditional dress and its accessories represent the beauty, culture, and elegance of Bali, particularly in bridal ceremonies."
